headline,label
@DHughesy haha. congrats on ur baby btw i saw a pic and he's so adorable!! xoxo,1
going to a wedding,1
@ironit use the awaresg tag! Are you here? We should meet,1
"@momoyy12 You're very much welcome ! I feel bad for @DavidArchie for not being able to greet you on your day. Still, I hope you had fun!",1
plans for today - get the tractor tire out of the ditch.. put my mate in it and role it down the near by hill and laugh at the result lol,1
@TruckerDesiree Thank you very much for helping spread the word about trucker pet transport.And for telling landline mag too. *Yay*,1
ONline and now i Have to go again cuz i ahve to go shopping see ya twilight is amazing,1
"@minxuan Hi Minxuan - so humbled by your kind words - I am missing my dinner for AWARE EGM. haha love your profile Btw, I am a biz mentor",1
in the last hour i have had 4 new folowers,1
"@felix85 No, a sword sounds domestic for Ireland. A Winchester sounds domestic for the US and a knife sounds domestic for Italy.",1
I'm so happy to find q80 twitter community,1
@xxangella Yeaaaaahhhh tonight.......Can't wait!,1
@kels450 Am glad u liked it. Have a wonderful day (and weekend),1
"@crisr lol no foods but everyone was stroking her &amp; ooohing , she then knocked a figurine of a vile mushroom off the shelf, Good job Em!",1
"@RealRobBrydon Wow, that is so coool",1
@Karthik Thanks for the macbook thingy;) i've nailed the offer,1
@OriconAilin good thanks you?,1
@memarj Hi there sweetie!,1
Colby o'Donis he was first known with chantelle Paige ! Not lady gaga ! That's a fact from my mouth!!! @chantellepaige @ladygaga,1
Playing World Of Goo on Mac,1
"@CaraLikeWhoa I know, right? Gates don't open until 1:30...so just call me 40 min before you want to pick me up, and I'll be ready",1
David Micah and Jr. get up way to early on Saturday. Waiting on Sissy to wake up so we can make Cinniamon Rolls. hope she takes a minute,1
I'm searching for pictures of my sister that we are going to show at her confirmation,1
"I know I am awfully loquacious tonight, but... Bianca's a hoe.",1
I'm graduating today... This is too strange.,1
seitzy.com is going to be a website that talks about wandering through the wonderful state of Michigan! I am working on it!,1
"@JoshSemans no mate, I'm trying to learn it all from the ground up by using 'text mate' and the apple developer tools!",1
@skjekkeland now that sounds very Green Any pics of u riding the scooter ?,1
watching scrubs love it open mic tonight!,1
@pukmis now that is a great sig for an email.,1
@RealRobBrydon Australia is an AWESOME place.. I should know- Im Australian! I loved Supernova. Seen it numerous times,1
@downesy awww. they're cute,1
Feel Like working over the weekend.. I hope i am in my senses,1
going to a friends birthday dinner in a while wee!,1
@diwwona pretty please with a cherry on top,1
Has made to Windsor. Some grub then trek back http://twitpic.com/4ebgm,1
@LittleFletcher i dunno what fletcher day is either lol i wanna know now cause i love you Fletchers lol you guys rock xxxx,1
morninggg were going to mcdonaldssssssss. still kinda tired but oh wellll. be home laterrrrrr.,1
"@laura_eyedea - thansk tried it all, fine for internet - even get through via FTP for certain sites... something up somewhere, ... :'(",1
Just watched &quot;the day the earth stood still&quot;. I like aliens is that weird?,1
Off to Cologne for my friend's birthday party! 1 hour drive on the autobahn: average speed: 120 km/h! That's 1 thing I like about Germany,1
@hadiy101 http://twitpic.com/3bweu - I meant *perfect with the bodies,1
"Excuse me for writing German only. Don't wanna be rude, but I'm too hung over 2day to do otherwise",1
"Saturday morning, it's 7:30am and I'm going to the gym now",1
@TiNY_13 Have some fun for me too hon!,1
I'm preparing to an awesome weekend,1
"heigh-ho, heigh-ho, to feed the hungry i will go!!! want to join? Hit me up! (214) 317-0485 @ Cathedral Of ... http://loopt.us/UjcNkw.t",1
Good afternoon world. So far I've done all my forensics work and nearly completed textiles xx,1
@MobayPrinCess lol lol lol lol.....well.....come gimme my babies and i show you what you likey lol,1
recording bits for tonights show,1
Is Calvin Harris still our number one? Ooohhh British-ness James Morrison ft Nelly Furtado - Broken Strings - No. 20 ! Top 40 uk chart,1
@shaundiviney haha i luv how the words at the top of the F are all 'me you love you',1
@captainjohnhart You're alive. Good. *grins* I love it when that happens.,1
"waaaaait.. i have 3 hds in my pc. i could install os x again on another hd, copy the files over, make a tm backup and install os x again",1
I feel like Buddy Love My hard work at the GYM is finally paying off,1
Have a wonderful Saturday everyone!!!,1
@misspentlife Are you looking for new Nokia? Here's some brand new stuf 4 u: http://tinyurl.com/cyz4so and http://tinyurl.com/caoycs,1
mmmm buttery toast,1
@marc_e you can come too?,1
@SarahWV I didn't see you here. Maybe that's what was wrong,1
eating chipsticks sandwhiches and a princess drink,1
"@domster Excellent stuff, good start to the hols",1
@xorachel63xo thankiesm same to ya,1
"going to watch Star Wars XD not sure which one though, the second one i think",1
Just got kitten to sleep in her basket and not my shoulder. One step at a time,1
@shaundiviney ha sounds like your having a great night ha,1
just had a fun random night,1
@demib @fantomaster - when you two guys fight over cloaking terminology - we'd all better don our black hats,1
"@paigeebaby well alright then. its up to you, but i think &amp; i know, that it is stupid. but ofcourse, its your choice.",1
@ricklondon I'll have to remember you're dyslexic next time,1
Just went and saw Defiance...was good ! !,1
"hmmmm mushroom and cheese nyomlette and coffee, need to do 1 run to the shop and then I don't have leave the house for days",1
There must be a &quot;buzz&quot; about PALO! because famous people are coming to our shows now.,1
"@tombed Tom, thanks for the #FollowFriday! Very nice company to be in.",1
"@skribe yep, earlier today. Bit of a spur-of-the-moment thing, wasn't too sure if I'd get the camera back",1
@adlyman Youth...,1
@djabomb ill blaze to that....,1
@RobPattzNews thanks for the update,1
"Is off to a meeting then the reset later, you see me there say hi buy me a tee",1
"G'morning, tweople!",1
@ThatKevinSmith love the twitter pg background!! Bob &amp; Doug ROCK! almost as much as Jay &amp; Silent Bob!!,1
@itsconnorrr im going soon to see it aswell it rocks,1
Is on her way to frinton x,1
"@CyberWasteland Eh. Like I said, I want Doctor Who : The Video Game, not Doctor Who : Buckets of Blood.",1
@ddlovato awesome picture. wow your talents just dont end,1
"gunna go get wash and change! watching one tree hill and jamming, til later! hah i wonder who rang me last night, mabye it was Afri' :/ .",1
is exhausted from all the driving. Sleeping/resting now... waking up to do some edits. Voice is raw. But glad that it was fruitful for me,1
watchin' &quot;a fistful of dollars&quot;,1
Just finished a great mtb ride at Northern Farm this morning,1
"leaving, amy's here. back laters though",1
Just found 'You'll be in my heart' by Phil Collins on my ipod tarzan soundtrack rules xD wondering if anybody actually reads all this xD,1
"I am down another 0.8lbs today, so I'm 0.6lbs past my goal of 192!! Yayyyyy! Now onward to 187, which will make 50lbs since 1/9/09!",1
@ddwalker Oooh just heard there cover of Ice Box. Niiiicely done.,1
Rise and shine my twitters! Going to feed the homeless today getting dressed and set to go,1
"@dazzaman66 nothing too flash dazza, I think you would put a little of it on your pork, the dutch eat it with everything and anything",1
@shaundiviney http://twitpic.com/4ebex - hahahaa LOL! xo lovin it,1
"Its a chilly, breezy day in SA and having some of grans famous chick and noodle soup. Delish!",1
blasting music and getting ready for bamboozle,1
http://twitpic.com/4ebbm - It JUST finished! Got a TARDIS? Come join me in ATL? You can stay for next weekend....,1
@WilliamOrbit I would be very interested to hear the fashion and music talk... will you transcribe it or post to your blog?,1
Listening to Pilla on the ipod.. v. good,1
Drinking Lidl 'sugar free stimulation drink'...so classy,1
Success is knowing when to stop and play I like that quote!,1
scaling and root planning.. hard life of a periodontist,1
Glad my blackberry is finally working! Thank you Jesus,1
just bought new clothes and camera whoop! love it when dad actually spends stuff,1
Download movie &quot;The Witches of Eastwick&quot; http://tinyurl.com/cfsl47 cool #movie,1
@30SECONDSTOMARS Mars is coming... I believe in you guys 30 Seconds to Mars 4 life,1
watching the ocean series...love em,1
"@TheEngTeacher but on a serious note, thank you for being you... yeah I know where the corner is",1
"@CageTheElephant haha...hey, i was just makin' sure i got my facts straight! i'm a uk fan. can we still be friends??",1
@jisee : exactement oui!,1
@boozysmurf Wolverine tickets purchased for 6:30pm show at Coliseum tonight. Feel free to join.,1
shortbread covered in choclate is really good,1
@selenagomez you listen to phil wickham?!!! Wow that's grreatt! God is good,1
"18 going to schedule classes, way too early!",1
@jasminelol good luck with the prom dress shopping!!,1
"everyone's goneee ! ahh well, time to start on an assignment i'll be quietly tweeting !",1
I am such a dim wit when it comes to all this sort of stuff... all these stars talking I dont think so I am very sceptical,1
"@funkineering No, no adwords - I'm growing organically on those sites",1
"@KardinalO Since I missed u last week in Kitchener with Akon, when u coming bacK? soon, i hope",1
@Larasexypanties Hey you! We need to chat sometime soon. I hope you're ok,1
Excelent day here at Barca very sunny,1
@Lindsayslifee thats like my fave show ever! i love paris hilton. shes awesome &lt;3,1
@Glitterboots lol - you could let her have a go!,1
@RobbieBonham is this the earliest you have ever been up ?,1
making lime centerpieces...throwing a bridal shower...sleeping? It's going to be a wonderfully long day!,1
Goood Morning! everybod have a Good day im drinking coffee.. trying to wake up..,1
"Awake at 7:30 on caturday. This should be illegal, but extended at home xB test drive at 10:30",1
Cant beat starting a day with a double bill of mythbusters and a jug of coffee,1
Quote: Twitter: because you're holding on to the illusion that other people care,1
@CFLca Have a nice day CFLca - I guess it's gonna be a busy one for you...,1
Last football match of the season but we did the whole spray champagne thing which was cool,1
@michdulce hahahahh,1
"Good Saturday morn 2 u all! It's a grocery shopping kind of day here. But first, exercise! Push Circuit 3 is on my agenda. What's on urs?",1
@thecreativepenn just wanted to let you know i enjoy your blogs and tweets,1
&quot;Envision&quot; remix played by Tiesto,1
ring for clowns http://tinyurl.com/cvfbuk,1
penbleth drosodd. haulhaulhaul peint ia? ia.,1
"@pammington YEah im gooood, dont you just love twitter!",1
"@i140 I'm excited I made it on your list. Thnx, Jason.",1
@MatthewFuller Me too!! It's all very exciting- can we talk about it yet? I haven't said anything until we sign confidentiality contracts,1
@shaundiviney haha nice comeback this is actually quite entertaining... :p,1
wonderful morning. finally I feel fullfilled. fresh carrots anyone?,1
just ate a yum curry cat wait to go look at the house tomorrow,1
@tommcfly Tom btw how much is your dvd going to be cause i need to start saving up please reply? xxx,1
@mayorsam @tgeisler THANK YOU for the #FollowFriday. Have a Great Day !,1
"Hey averyone, follow my friend @Larasexypanties She's new here, but so hot and has yummy panties for sale",1
@Kelly_StrayCat You need to post that to @DonnieWahlberg he always has isms going on around here!,1
@mrs_bopp I'll twitpic update you so you won't miss a thing,1
@LittleFletcher It's a day that McFly fans tribute Tom changing our pictures for his pictures,1
@AimeeNewell not long to go now before we can get outta here x,1
@teamtobias http://twitpic.com/23y8v - Bloody hell he is TALL!,1
"Up early to work on a house ... Walls where there were none, no walls where there were some",1
off to loughborough for family thing with family I've never met or have any desire to meet...but I get to see my dad and nephew,1
Pigs and their farmers are having the last last - or dare I say grunt http://rt.nu/jq7o,1
Upgrading my Ubuntu to the 9.04 version! How cool is ubuntu i can surf on the web meanwhile,1
"Good Saturday morn 2 u all! It's a grocery shopping kind of day here. But first, exercise! Push Circuit 3 is on my agenda. What's on urs?",1
@shaundiviney hahahahaha nice... its funny,1
@toddwaller may 5th,1
"watching the da vinci code now, drinkin vodka",1
"With alishaanti, going to new jersey for bamboooozle !",1
Finally got a YouTube Realtime invite,1
@radiomorgan LOL! One of the funniest tweets I've read all week,1
@cmbaldwin Have a really nice time!,1
making birthday plans not long now yaay Finally &amp; not leeting you get away with it that easily this time so carry on douche,1
"been on the phoneee fer agesss,,, ily boy hes ranting about butterflies hahahaa",1
@captainsmash I'll beat them up if they say anything,1
@holyschmoke Blue pride. What can I say?!,1
@MobayPrinCess WHERE DA HECK DID THIS QUES COME FROM LOL NAH I LOVE ME SOME PENISSSS BUT IF A GIRL IS PRETTY I WILL TELL HER DAT ALL,1
"the days when I get to spend all day with you, are the bestest days of my life",1
"@Densy Ohayou! Not that its morning anymore.. Konnichiwa! Nanika atta? (yeah bitch, you go netherlands Ill kick out the japanese!)",1
actually love Taylor Swifts new video,1
via @urfirstwebsite: Thanks for following me I'd love 2 offer u a copy of my free blogging success ebook: http://tinyurl.com/dy8kfa - ...,1
You gotta come from the bottom just to see the top... Make sure you stay firm and you don't flop --Thanks for the Gerber Reds --,1
Finally Internet in my new flat! ftw,1
"is sat in bed watching the coronation street omnimbus, thinking about gettin' some lunch",1
@docrefa love you more! hehehe..,1
@Fergieofficial I'm your big fan Boom Boom pow rocks! I love it How are you? I'm new here I'm so glad that I find you,1
Nursing a rainy Saturday morning migraine. Smiling takes the edge off; and chilled 100% concord grape juice. Mmmmmmm ...,1
"@itsFOB, thanks for following me",1
off to prayer and connections and rock climbing later!,1
@tiff_tootsie: take care tiff!!! exam is coming soon! james franco + zac efron = HOTTIE &lt;3,1
Classic one hit wonder which doesn't fail to get ya movin' -Come On Eileen ? http://blip.fm/~5etcn,1
"agenda: work, going to Menards with Crystal, then home to work on cleaning and going grocery shopping. Beautiful day!",1
Greetings from Cracow,1
@suesshirtshop That's fair enough. I've been having a bit clean up myself of late. Wardrobes have been empty but floors well used,1
is loving the weather im off camping sleeping rough tonight lol,1
@garkbit What's the URL for the piccies? Want to have a nosey for some folks!,1
"@CamTheJuice Cam, what's your student ID? Can't find you. DM me &amp; I'll send your mark. Re science course - &quot;easy&quot; is a subjective term",1
Miley Cyrus under the skin interview on next though.,1
just might get a puppy for my birthday and i am soo excited,1
@Lindsayslifee bitches are awesome im a bitch too. so DON'T be my enemy. LMAO xD &lt;3,1
Mile One down! Keeping pace with a 9-month preggars chick and a girl with a cast on her leg... Slow and steady wins the race.,1
@stereophone The Answer of all Questions. #Lost,1
"Just sax X-Men Origins , Wolverine last night ... I am extremely pleased! :insert blissful dance:",1
@yaseminx3 haha xD no doubt LMFAO im gooodd (: what about you bbyy? lysmm &lt;3,1
And @tubbyloo offcourse,1
"@pedaah No I don't. I sit on my butt most of the time at a computer, or I'm cooking/cleaning/doing domestic stuff",1
"@robrobaco Hello, Thanks for Following. Hope to exchange and share tweets with you soon",1
twired.. but i must go shopping! bring on the new can opener ad some chocolate!,1
Emily and I are going to the Temple Symphony Concert tonight,1
I must promote being authentic in life - never giving up - doing what feels right - my situation propelled me onto something amazing,1
"@adlyman Yeah, I know. I'm thinking bout my time...bout 11ish I oughtta b knocked out. Seems I'm finally beginning 2 tire. Maybe, sooner.",1
"@VanessaJane90 Hehe, stay in the moment. I hope ya have an amazing time! xx",1
"Hello World! This is the first tweet for Dynumo Interactive Web Design Agency, and I hope that it is the first of many!",1
That was the smoothest Tiger Airways flight I've ever had. Thanks,1
"@starsnostars Next they'd be making penises works of art. Of course, they're response to you would be &quot;you just don't understand!&quot;",1
Having another one of my @wheezywaiter marathons followed by a @levibeamish one.,1
@imogenheap yes please! I'm watching retrospectively but number 2 was lovely. I look forward to watching number 3,1
Have to do some financial and strategic planning stuff with Achim this weekend ... Hope that all promised projects come as planned,1
"Coraline 3D is horriblee but, u get to keep the glasses",1
@robinrimbaud Likewise! I'm sure we'll all be swapping tips over the next six months ... very exciting stuff,1
@brunolovesbrit yes thankyou !,1
@Kotaco you gotta be the best Twitter Feed on here Awesome Stuff Kotaco,1
@5minutesformom Thank you ladies for the FF,1
Listening to Sum41 -still- I think my Pop-Rock/Punk period's back,1
ah there you are Sun.,1
My head is feeling a bit fragile... good night though,1
@southpadrelive HAHA ain't that the truth!,1
Kids slept into 7:00 -- wow -- it feels so decadent to have slept that long Off for shower -- ooh the excitement of it all ; ),1
"@realin Man, is that your chick in the DP? Nice!",1
"@motionocean So I kinda just dropped a message saying that, and he read it out",1
village markets tomoro.. check out the cupcake slaughterhouse stuff,1
Is at Hurricane Harbor all day for the Cardboard Boat Regatta!,1
@DavidArchie I was watching some of the videos from London last night! And it was a total blast!!,1
@_3_ lol You're most welcome I'm glad to have made your day,1
@PoynterPerv yea ave been to see him twice lol and he looked straight at me lol,1
@goaskalicia I'll go LMD (little mustard dress),1
"Good morning everyone today i have the whole day off, yay!",1
@ElLocoMarko we're starting a new DnD 3.5 campaign.,1
@imeanwegotguys Make stuff up?,1
is wide awake and ready for action! *productivity is KEY today* time to get these finals over with...with me luck,1
Spending quality time watching Smurf on Youtube. It's like a timewarp..Hahaha http://tr.im/khyj,1
"@rockson ::Clink!:: Hey, Twitterbug!",1
"@iMartynn oh right, my bad do you have myspace? easier to talk on there.",1
"Learn new things .. stop blamming, stop denial, stop excuses... take responsible to our life..",1
"Managed to get through my Google Reader items, I had around 300! Time to do some work.",1
@Rachellous yep and some high waisted shorts as a treat :p,1
@mwhi @cubansunrise DaVinci anyone?,1
Spent my Labor Day with my best friends&lt;33 we had so much fun&lt;3 Thinkin' of those days&lt;3,1
I can't sleep hopefully this L will lay me out? Anybody awake?,1
@vafanof17 up early? I've been up since 4:55 thanks to 2 4-legged alarm clocks,1
Has more bracelets but no battery,1
"@DerekMassey indeed! Midyear is going to be fun, methinks...",1
@miiaass umm... im guessing in the tent outside? nowait.. thatts mine umm... in your moms room maybe? : D,1
w00t! NCSU Web Dev representing on twitter Follow us for updates from the Ning site!,1
"fatharaasee, a beautiful dhivehi word",1
@SmittnbyBritain make sure save me some - yum,1
@gopalshenoy Oh--i can so relate!Hope u're able to breathe deeply soon,1
Sleep Then fun with bikes gonna be AWSOME!,1
@James_Waters my mum is on Twitter,1
"@Tojosan Yep, going to a mother-daughter banquet today w/ 3 of my 4 daughters + my granddaughter.",1
Off to run birght n' early,1
@theresa162 Why Thank you!! Ditto,1
"Good monrning, people!!!",1
Enjoying the sunrise at work with some tasty tea,1
"needs to get re-acquainted with self + everyone. is failing at the internet, oh no. i deserve a prize!",1
thinking it's weird that the Americans are waking up and it's night time here! Happy Saturday Americans!,1
"@toysrevil your astrodude is in the post man, let me know when he arrives What WWR pieces do you have BTW?",1
"@amy__xx lol yeah its not too bad, considering lol! ahhhh i'm so hyped for croydon mann! x",1
http://twitpic.com/4ebt4 - Amazing day with you,1
@Jintanut After 25 yeas in Queensland I relocated here so it's especially challenging LOL Loving the snow though. Great atmosphere.,1
@nkotb Congratulations Tatiana Have a blast,1
@Kendal_ Yeahh come watch them again will be fun,1
Not going to post on DS today. I get in the way!!!,1
3 exhausted girls trying to set up a tent is going to be innnteresting,1
"Up and getting ready. Coffee, banana, bagel. A little rain on the forecast. It's gonna be a fun 50 miles.",1
"Back from town, got a t-shirt from Topshop and some sandshoesss",1
"Hi ho, hi ho, it's off to work I go! Have a great day!",1
"@TheMikeKelly yip goinginto LK, big screen and food markets etc can't wait....",1
Driving to the shopping haven,1
@theladywrites Hiya - I run a video / audio group with a few good artists. Check cpl my links to see our produce,1
"Correction to the poem it was made on May 2, 2009 so I guess 5.2.09? yeee &quot; Poem_5.2.09.. &quot; There you go enjoy",1
"@JurieOnGames yeah, i like it hand drawn too thats what i mean, 3d stuff just has too much depth to look like a 2d drawing",1
I get home later from work than I do on a night out. Killlerrr! Lunch with H today lovelove x,1
might head to bed. nighty night people,1
YAY!!! so excited for king's island,1
game MU dah nk start dh...,1
@Surrealist Now all we need is built-in ISO mounting in Windows 7.,1
just watched x-men origins: wolverine &quot;a very very cool movie&quot;,1
Can't stop obsessing over new apps and totally gets it now!!,1
"@simonbarker Greetings! I am quite a fan of Hambleton's only cinematic emporium The film was enjoyable, despite me not being a footy fan",1
I've just woken up,1
i have a cut mouth because of my lovely stepbrother,1
@DiiLee a porsha key chain,1
My mom and I reconciled!,1
"Middlesbourgh v Man Utd about to start and so I must leave, be back later so do not grieve Chow4now (ohh Utd make 7 changes to the side)",1
yay sennheisers - normal service is resumed!,1
will find a profile pic later,1
says you prolly just got dressed for nothing.. we're already through!,1
Love is all you need,1
"@greengirl74 What's your secret for beating a cold? If you can beat it.. i can ;) Hope you killed the show tonight, good luck tomorrow",1
"I'm off to town, tweet you later",1
@SidTheLab woof woof bark bark meow. You must be a talented dog,1
Has been working really hard all morning - now I'm off to enjoy the sun for a bit,1
We're off to the cinema tonight to see either 17 again or Ghosts of girlfriends past - aren't I in for a great night,1
"@TheMonkeyBoy I play as Goalie, so happy with the clean sheet.",1
just woke up..still sleepy..not enuf sleep,1
Coffee is brewing and Sophia is impatiently waiting for me to ice the cupcakes..she keeps saying something about sprinkles its too early.,1
"Wahoo! Leonie returns victorious! Another two pages of book complete! Time for a book-writing dance, then possibly bed",1
@fadedmoon Yes it is! and it always is,1
@stesimpson Not another one held captive in the Shepherd's Bush Bazaar,1
@Trina_Lawrence What did you eat? Did those two pesky kids chew on your house again? I for one see being eaten as appropriate punishment,1
Hoodwink was AMAZING! Now I am ready for BAMBOOZLE !,1
saturday night at home sweet home,1
@realin What an awesomastic DP - I love the colors you guys are wearing.. and the natural smile,1
@PauloSousaYT HI love your new video!,1
soccer all day long,1
Probably going into inverness in about an hour.,1
"Ahoy @OlmyT. I don't need to hear that you love your phone... I love your phone, you love your phone, we've got that down.",1
"@thescript I'm going in october ,is it nice? x",1
@LunaJune we lost *think two* ahhhhhh! ~ JUNE! ~ we need your help!,1
http://twitpic.com/4ebtx - Finished the shopping,1
hey how are yu?i'm a big fan,1
@jennroo that's if u ever wanna hang out or sumthen...hehe...its ur call u seem like a super koo and down 2 earth girl...I dig that,1
I am Home,1
"great day for some photo-taking, walking around, doing stuff",1
"Messy Times; Sailor hats, Vodka-Fanta (fruit twist variety) and early morning police investigation phonecalls..",1
@mileycyrus Yow Miley! I love the way you act and SiNG I've watched HM the Movie. Haha ) I love the end part so much,1
needs some shoes... Michellaaaaa??,1
"morning tweets... lets have a great saturday all betters at the derby, hope you win!",1
Haha! I finally got to post my AMV for Death Note!!! http://tinyurl.com/d4ewuq,1
@wabibrookstudio Awwwww! Thank you so much sweet soul for the love and encouragement,1
I have like 5 pokemon games,1
@ReaganGomez I saw that piece you did in KING...very good and nice to get a different perspective on the election. Look 4ward to more,1
whenever i try typing twitter into the adress bar thing i type it wrong and end up on this site that sells t-shirts...,1
"lazy, lazy saturday... loves it",1
Is getting ready to have a cuddle with BFF new baby!! Very broody right now lol,1
@KristinsAwesome JUMP IN It's great you will love it!!! Great Music Killer workout! Great results! Go For It!,1
@breatheheavycom lol i agree! Exhale haters stop wasting your time,1
is off to the beach for a little while with his lovely girlfriend,1
Using my awesome new iPod,1
@jerseyshorejen I haven't been there for awhile but I used to go down 70 - 72.,1
@johncmayer try this: http://tinyurl.com/2awksl (unless you prefer the spongey mess ),1
Ugh i cantwait for my date with slaintes,1
"heat won!!! woohoo, im so happy",1
Bambina And The City (part 2),1
amazing night last night LEGACY COMP TODAY! we run this shit. &lt;33,1
"@booktagger thx for blog comment Rebecca PS have some books in &quot;give away to friends pile&quot;, can give them to @lebard if either of u want",1
"drinking my iced coffee from a mason jar. apparently i am a hipster AND a hick, LOL. well, one outta two ain't bad.",1
OMg I think I will make it to 300 I am a legend,1
"@fraserke And four days later...FNM, Metallica, Nine Inch Nails and Chris Cornell !!!!!!! PIG IN MUD...will be deaf but happy",1
"maybe it is fixed, just had lunch, must shower now, exfoliate, toenails, fingernails, hair, bliss",1
@EhsanAhmad thats cool,1
@ SarahK_13 hey where is the pic of the pie???? The one whit me ?! ;-),1
"Approx 2.5 hrs of bliss about to commence, high maintenance hair does have some benefits",1
Morning y'all big hey and thanks to my new PR followers il tweet you later when I'm at my laptop...,1
@ExtremelyRich I am for changing them. Hopefully that was your point,1
@StaciJShelton Thank you Staci! Hope yours is bright and colorful too!,1
@69police is obviosu you can't stand football saying things like Come On Boro,1
"@Barnsleysime Individuality... yesss. I'll drink to that, being proud of who you are and what you're all about and showing the world!",1
"@Gertrudesteinjr Don't worry, when you hear it you'll know why I'm a #cuntard",1
@livingvenice @AoifeTweets thanks for the tips,1
"nah US &amp; UK HipHop, I play some grime tracks still but mostly rap tho",1
"@LaurenFisher the best seats are around row 16 - over the wings, xtra leg room",1
@franksting from the sublime to the ridiculous then? lol I love MadMen too,1
Tx Mia Lomo rocks but Holga too. Looking fwd to your new shots! http://post.ly/R0V,1
"is preparing for an up coming week full of castings, running, timing, shooting, n no drinking...craziness fun of life",1
@karenbyrne Thank you all for allowing me to be a part. Still think I was given the hardest question to speak to though. Lol,1
@clouded Hee! Thankee - love you too!,1
222 in #FlightControl. Beat my last record by 49 http://twitpic.com/4ebyh,1
congrats becky &amp; jeremy on prom queen and king ! I can't wait until I graduate,1
@narrowcurves re FB request. Me too. Time to prune those status's and wall posts before you say Yes,1
